latency_ns,cdf
745000,0.000488281
773000,0.000976562
972000,0.00146484
1.501e+06,0.00195312
1.673e+06,0.00244141
2.03e+06,0.00292969
2.03e+06,0.00341797
2.03e+06,0.00390625
2.03e+06,0.00439453
2.03e+06,0.00488281
2.03e+06,0.00537109
2.03e+06,0.00585938
2.03e+06,0.00634766
2.03e+06,0.00683594
2.03e+06,0.00732422
2.03e+06,0.0078125
2.03e+06,0.00830078
2.03e+06,0.00878906
2.03e+06,0.00927734
2.03e+06,0.00976562
2.03e+06,0.0102539
2.03e+06,0.0107422
2.03e+06,0.0112305
2.03e+06,0.0117188
2.03e+06,0.012207
2.03e+06,0.0126953
2.03e+06,0.0131836
2.03e+06,0.0136719
2.03e+06,0.0141602
2.03e+06,0.0146484
2.03e+06,0.0151367
2.03e+06,0.015625
2.03e+06,0.0161133
2.03e+06,0.0166016
2.03e+06,0.0170898
2.03e+06,0.0175781
2.03e+06,0.0180664
2.03e+06,0.0185547
2.03e+06,0.019043
2.03e+06,0.0195312
2.03e+06,0.0200195
2.03e+06,0.0205078
2.03e+06,0.0209961
2.03e+06,0.0214844
2.03e+06,0.0219727
2.03e+06,0.0224609
2.03e+06,0.0229492
2.03e+06,0.0234375
2.03e+06,0.0239258
2.03e+06,0.0244141
2.03e+06,0.0249023
2.03e+06,0.0253906
2.03e+06,0.0258789
2.03e+06,0.0263672
2.03e+06,0.0268555
2.03e+06,0.0273438
2.03e+06,0.027832
2.03e+06,0.0283203
2.03e+06,0.0288086
2.03e+06,0.0292969
2.03e+06,0.0297852
2.03e+06,0.0302734
2.03e+06,0.0307617
2.03e+06,0.03125
2.03e+06,0.0317383
2.03e+06,0.0322266
2.03e+06,0.0327148
2.03e+06,0.0332031
2.03e+06,0.0336914
2.03e+06,0.0341797
2.03e+06,0.034668
2.03e+06,0.0351562
2.03e+06,0.0356445
2.03e+06,0.0361328
2.03e+06,0.0366211
2.03e+06,0.0371094
2.03e+06,0.0375977
2.03e+06,0.0380859
2.03e+06,0.0385742
2.03e+06,0.0390625
2.03e+06,0.0395508
2.03e+06,0.0400391
2.03e+06,0.0405273
2.03e+06,0.0410156
2.03e+06,0.0415039
2.03e+06,0.0419922
2.03e+06,0.0424805
2.03e+06,0.0429688
2.03e+06,0.043457
2.03e+06,0.0439453
2.03e+06,0.0444336
2.03e+06,0.0449219
2.03e+06,0.0454102
2.03e+06,0.0458984
2.03e+06,0.0463867
2.03e+06,0.046875
2.03e+06,0.0473633
2.03e+06,0.0478516
2.03e+06,0.0483398
2.03e+06,0.0488281
2.03e+06,0.0493164
2.03e+06,0.0498047
2.03e+06,0.050293
2.03e+06,0.0507812
2.03e+06,0.0512695
2.03e+06,0.0517578
2.03e+06,0.0522461
2.03e+06,0.0527344
2.03e+06,0.0532227
2.03e+06,0.0537109
2.03e+06,0.0541992
2.03e+06,0.0546875
2.03e+06,0.0551758
2.03e+06,0.0556641
2.03e+06,0.0561523
2.03e+06,0.0566406
2.03e+06,0.0571289
2.03e+06,0.0576172
2.03e+06,0.0581055
2.03e+06,0.0585938
2.03e+06,0.059082
2.03e+06,0.0595703
2.03e+06,0.0600586
2.03e+06,0.0605469
2.03e+06,0.0610352
2.03e+06,0.0615234
2.03e+06,0.0620117
2.03e+06,0.0625
2.04e+06,0.0629883
2.04e+06,0.0634766
2.04e+06,0.0639648
2.04e+06,0.0644531
2.04e+06,0.0649414
2.04e+06,0.0654297
2.04e+06,0.065918
2.04e+06,0.0664062
2.04e+06,0.0668945
2.04e+06,0.0673828
2.04e+06,0.0678711
2.04e+06,0.0683594
2.04e+06,0.0688477
2.04e+06,0.0693359
2.04e+06,0.0698242
2.04e+06,0.0703125
2.04e+06,0.0708008
2.04e+06,0.0712891
2.04e+06,0.0717773
2.04e+06,0.0722656
2.04e+06,0.0727539
2.04e+06,0.0732422
2.04e+06,0.0737305
2.04e+06,0.0742188
2.04e+06,0.074707
2.04e+06,0.0751953
2.04e+06,0.0756836
2.04e+06,0.0761719
